Analysis,n_train,n_test,AUC,AUC_95CI,Brier
Complete-case,432,429,0.838,(0.789–0.884),0.1175
"Multiple imputation (MICE, m=20)",499,482,0.831,individual range 0.826–0.837,0.1135
