model,n,auc,auc_lo,auc_hi,brier,cal_slope,cal_intercept,cutoff_youden,sens_youden,spec_youden,sens_paper,spec_paper,AUC (IC95%)
logistic,429,0.8376338536962972,0.7885853438266031,0.8842895271577862,0.11747163113761398,1.1229376792006747,0.6056482589894007,0.1337710091520384,0.7608695652173914,0.7685459940652819,0.8586956521739131,0.599406528189911,0.838 (0.789–0.884)
rf,429,0.843068636304993,0.7950014514256224,0.8863247484195587,0.11913335743767764,1.0583284506744761,0.449525780119197,0.11511111111111112,0.8152173913043478,0.71513353115727,0.8478260869565217,0.655786350148368,0.843 (0.795–0.886)
xgb,429,0.8439072377757709,0.8024843568571797,0.8857945748935621,0.1264365412207022,1.4201112402459313,0.9963640164193773,0.17762803584337233,0.6630434782608695,0.8783382789317508,0.9891304347826086,0.3768545994065282,0.844 (0.802–0.886)
bagged_cart,429,0.8207811895239324,0.7737146819765192,0.8682863501483679,0.1289608398557602,1.3203032981995446,0.9165959995517857,0.12387694512709158,0.7391304347826086,0.7448071216617211,0.8804347826086957,0.5311572700296736,0.821 (0.774–0.868)
mlp,429,0.7681266933298929,0.7072587408076377,0.826998532447426,0.13065082026965114,1.117410608955067,0.3832313913164204,0.2642381480894244,0.5,0.9258160237388724,0.8913043478260869,0.314540059347181,0.768 (0.707–0.827)
